Day,Meal Type,Category,Items
MONDAY,BREAKFAST,Beverages,"Tea, Coffee, Milk, Bournvita"
MONDAY,BREAKFAST,Breads,"Brown Bread, Butter, Jam"
MONDAY,BREAKFAST,Cornflakes,Cornflakes
MONDAY,BREAKFAST,Fruits/Salad,Banana
MONDAY,BREAKFAST,Egg Dish,Bhurji
MONDAY,BREAKFAST,Main Dish,Uttapam
MONDAY,BREAKFAST,Side Items,Sambhar + Coconut Chutney
MONDAY,LUNCH,Daal,Daal Tadka
MONDAY,LUNCH,Gravy,Aaloo Matar Sabzi
MONDAY,LUNCH,Rice,Jeera Rice
MONDAY,LUNCH,Curd Item,Plain Dahi
MONDAY,LUNCH,Breads,Methi Puri
MONDAY,LUNCH,Salad,Green Salad
MONDAY,SNACKS,Drinks,"Tea, Coffee, Milk, Bournvita"
MONDAY,SNACKS,Breads,"Bread, Butter, Jam"
MONDAY,SNACKS,Main Snack,Aaloo Pakode
MONDAY,SNACKS,Side Items,Ketchup + Mint Chutney
MONDAY,DINNER,Daal,Masoor Dal Fry
MONDAY,DINNER,Gravy,Chicken Do Pyaza
MONDAY,DINNER,Dry Veg,Paneer Lababdar
MONDAY,DINNER,Rice,Tawa Pulao
MONDAY,DINNER,Breads,Roti
MONDAY,DINNER,Salad,Green Salad
MONDAY,DINNER,Sweets,Fruit Custard
TUESDAY,BREAKFAST,Beverages,"Tea, Coffee, Milk, Bournvita"
TUESDAY,BREAKFAST,Breads,"Brown Bread, Butter, Jam"
TUESDAY,BREAKFAST,Cornflakes,Chocos
TUESDAY,BREAKFAST,Fruits/Salad,Fruit Chat - 1 Bowl
TUESDAY,BREAKFAST,Egg Dish,Boiled eggs
TUESDAY,BREAKFAST,Main Dish,Aloo Pyaz Paratha
TUESDAY,BREAKFAST,Side Items,Curd + Pickle
TUESDAY,LUNCH,Daal,Kadhi Pakoda
TUESDAY,LUNCH,Dry Veg,Aaloo Jeera
TUESDAY,LUNCH,Rice,Jeera Rice
TUESDAY,LUNCH,Curd Item,Cucumber & Mint Raita
TUESDAY,LUNCH,Breads,Roti
TUESDAY,LUNCH,Salad,Kachumbar Salad
TUESDAY,SNACKS,Drinks,"Tea, Coffee, Milk, Bournvita"
TUESDAY,SNACKS,Breads,"Bread, Butter, Jam"
TUESDAY,SNACKS,Main Snack,Chowmein/Maggi
TUESDAY,SNACKS,Side Items,Ketchup
TUESDAY,DINNER,Daal,Lehsuni Dal
TUESDAY,DINNER,Dry Veg,Aaloo kaala channa
TUESDAY,DINNER,Rice,Jeera Rice
TUESDAY,DINNER,Breads,Roti
TUESDAY,DINNER,Salad,Green Salad
TUESDAY,DINNER,Sweets,Sewaiyan/Kheer
WEDNESDAY,BREAKFAST,Beverages,"Tea, Coffee, Milk, Bournvita"
WEDNESDAY,BREAKFAST,Breads,"Brown Bread, Butter, Jam"
WEDNESDAY,BREAKFAST,Cornflakes,Chocos
WEDNESDAY,BREAKFAST,Fruits/Salad,Banana
WEDNESDAY,BREAKFAST,Egg Dish,Masala Omelette
WEDNESDAY,BREAKFAST,Main Dish,Vada
WEDNESDAY,BREAKFAST,Side Items,Sambhar + Coconut Chutney
WEDNESDAY,LUNCH,Gravy,Amritsari Chole
WEDNESDAY,LUNCH,Rice,Plain Rice
WEDNESDAY,LUNCH,Curd Item,Chaach
WEDNESDAY,LUNCH,Breads,Bhature
WEDNESDAY,LUNCH,Salad,Green Salad
WEDNESDAY,SNACKS,Drinks,"Tea, Coffee, Milk, Bournvita"
WEDNESDAY,SNACKS,Breads,"Bread, Butter, Jam"
WEDNESDAY,SNACKS,Main Snack,Poha
WEDNESDAY,SNACKS,Side Items,Mint Chutney
WEDNESDAY,DINNER,Daal,Urad Dal
WEDNESDAY,DINNER,Gravy,Chicken Do Pyaza
WEDNESDAY,DINNER,Dry Veg,Paneer Lababdar
WEDNESDAY,DINNER,Rice,Tawa Pulao
WEDNESDAY,DINNER,Breads,Roti
WEDNESDAY,DINNER,Salad,Green Salad
WEDNESDAY,DINNER,Sweets,Besan Barfi/Boondi
THURSDAY,BREAKFAST,Beverages,"Tea, Coffee, Milk, Bournvita"
THURSDAY,BREAKFAST,Breads,"Brown Bread, Butter, Jam"
THURSDAY,BREAKFAST,Cornflakes,Cornflakes
THURSDAY,BREAKFAST,Fruits/Salad,Papaya
THURSDAY,BREAKFAST,Egg Dish,Boiled eggs
THURSDAY,BREAKFAST,Main Dish,Plain Paratha
THURSDAY,BREAKFAST,Side Items,Matar Sabzi
THURSDAY,LUNCH,Daal,Mixed Dal
THURSDAY,LUNCH,Dry Veg,Dum Aaloo
THURSDAY,LUNCH,Rice,Plain Rice
THURSDAY,LUNCH,Curd Item,Boondi Raita
THURSDAY,LUNCH,Breads,Roti
THURSDAY,LUNCH,Salad,Boiled Chana Salad
THURSDAY,SNACKS,Drinks,"Tea, Coffee, Milk, Bournvita"
THURSDAY,SNACKS,Breads,"Bread, Butter, Jam"
THURSDAY,SNACKS,Main Snack,Pasta
THURSDAY,SNACKS,Side Items,Ketchup
THURSDAY,DINNER,Daal,Daal Palak
THURSDAY,DINNER,Gravy,Baigan aloo
THURSDAY,DINNER,Rice,Plain Rice
THURSDAY,DINNER,Breads,Roti
THURSDAY,DINNER,Salad,Green Salad
THURSDAY,DINNER,Sweets,Vanilla/Strawberry Icecream
FRIDAY,BREAKFAST,Beverages,"Tea, Coffee, Milk, Bournvita"
FRIDAY,BREAKFAST,Breads,"Brown Bread, Butter, Jam"
FRIDAY,BREAKFAST,Cornflakes,Chocos
FRIDAY,BREAKFAST,Fruits/Salad,Banana
FRIDAY,BREAKFAST,Egg Dish,Omelette
FRIDAY,BREAKFAST,Main Dish,Poha
FRIDAY,BREAKFAST,Side Items,Lemon
FRIDAY,LUNCH,Daal,Arhar Dal
FRIDAY,LUNCH,Gravy,Chicken Chilly
FRIDAY,LUNCH,Dry Veg,Veg Manchurian
FRIDAY,LUNCH,Rice,Fried Rice
FRIDAY,LUNCH,Curd Item,Pineapple Raita
FRIDAY,LUNCH,Breads,Roti
FRIDAY,LUNCH,Salad,Kachumbar Salad
FRIDAY,SNACKS,Drinks,"Tea, Coffee, Milk, Bournvita"
FRIDAY,SNACKS,Breads,"Bread, Butter, Jam"
FRIDAY,SNACKS,Main Snack,Pav Bhaji
FRIDAY,SNACKS,Side Items,Lemon
FRIDAY,DINNER,Daal,Masoor Dal Fry
FRIDAY,DINNER,Gravy,Aloo Soyabean
FRIDAY,DINNER,Rice,Matar Pulao
FRIDAY,DINNER,Breads,Roti
FRIDAY,DINNER,Salad,Green Salad
FRIDAY,DINNER,Sweets,Jalebi
SATURDAY,BREAKFAST,Beverages,"Tea, Coffee, Milk, Bournvita"
SATURDAY,BREAKFAST,Breads,"Brown Bread, Butter, Jam"
SATURDAY,BREAKFAST,Cornflakes,Chocos
SATURDAY,BREAKFAST,Fruits/Salad,Papaya
SATURDAY,BREAKFAST,Egg Dish,Bhurji
SATURDAY,BREAKFAST,Main Dish,Aloo Pyaz Paratha
SATURDAY,BREAKFAST,Side Items,Curd + Pickle
SATURDAY,LUNCH,Daal,Rajma
SATURDAY,LUNCH,Dry Veg,Lauki sabji
SATURDAY,LUNCH,Rice,Plain Rice
SATURDAY,LUNCH,Curd Item,Dahi vada
SATURDAY,LUNCH,Breads,Roti
SATURDAY,LUNCH,Salad,Green salad
SATURDAY,SNACKS,Drinks,"Tea, Coffee, Milk, Bournvita"
SATURDAY,SNACKS,Breads,"Bread, Butter, Jam"
SATURDAY,SNACKS,Main Snack,Bread Pakode
SATURDAY,SNACKS,Side Items,Ketchup + Mint Chutney
SATURDAY,DINNER,Daal,Urad Dal
SATURDAY,DINNER,Dry Veg,Matar Aaloo
SATURDAY,DINNER,Rice,Jeera Rice
SATURDAY,DINNER,Breads,Roti
SATURDAY,DINNER,Salad,Green Salad
SATURDAY,DINNER,Sweets,Sooji/Moong Dal Halwa
SUNDAY,BREAKFAST,Beverages,"Tea, Coffee, Milk, Bournvita"
SUNDAY,BREAKFAST,Breads,"Brown Bread, Butter, Jam"
SUNDAY,BREAKFAST,Cornflakes,Cornflakes
SUNDAY,BREAKFAST,Fruits/Salad,Papaya
SUNDAY,BREAKFAST,Egg Dish,Boiled eggs
SUNDAY,BREAKFAST,Main Dish,Dosa
SUNDAY,BREAKFAST,Side Items,Sambhar + Coconut Chutney
SUNDAY,LUNCH,Daal,Toor Dal
SUNDAY,LUNCH,Gravy,Matar Paneer
SUNDAY,LUNCH,Dry Veg,Chocolate Icecream
SUNDAY,LUNCH,Rice,Veg Biryani + Chicken Biryani
SUNDAY,LUNCH,Curd Item,Mix Veg Raita
SUNDAY,LUNCH,Breads,Roti
SUNDAY,LUNCH,Salad,Kachumbar Salad
SUNDAY,SNACKS,Drinks,"Tea, Coffee, Milk, Bournvita"
SUNDAY,SNACKS,Breads,"Bread, Butter, Jam"
SUNDAY,SNACKS,Main Snack,Samosa/Kachori
SUNDAY,SNACKS,Side Items,Imli Chutney + Mint Chutney
SUNDAY,DINNER,Daal,Dal Makhani
SUNDAY,DINNER,Dry Veg,Capsicum Aaloo
SUNDAY,DINNER,Rice,Plain Rice
SUNDAY,DINNER,Breads,Roti
SUNDAY,DINNER,Salad,Green Salad
SUNDAY,DINNER,Sweets,Gulab Jamun
